hospital_code,facility_type,facility_name,town,region,services_offered,contact,nhis_accredited
H024,District Hospital,Agogo Presbyterian Hospital,Agogo,Ashanti,General,032-2-091010,Yes
H025,District Hospital,Nkoranza District Hospital,Nkoranza,Bono East,General,,Yes
H026,District Hospital,Berekum District Hospital,Berekum,Bono,General,,Yes
H027,District Hospital,Keta Municipal Hospital,Keta,Volta,General,,Yes
H028,District Hospital,Hohoe Municipal Hospital,Hohoe,Volta,General,,Yes
H029,District Hospital,Bawku Presbyterian Hospital,Bawku,Upper East,General,,Yes
H030,District Hospital,Jirapa District Hospital,Jirapa,Upper West,General,,Yes
H031,Dialysis Centre,Korle Bu Dialysis Unit,Accra,Greater Accra,Haemodialysis,,Yes - Free
H032,Dialysis Centre,Komfo Anokye Dialysis Unit,Kumasi,Ashanti,Haemodialysis,,Yes - Free
H033,Dialysis Centre,Tamale Teaching Hospital Dialysis Unit,Tamale,Northern,Haemodialysis,,Yes - Free
H034,Dialysis Centre,Cape Coast Teaching Hospital Dialysis Unit,Cape Coast,Central,Haemodialysis,,Yes - Free
H035,Dialysis Centre,Ho Teaching Hospital Dialysis Unit,Ho,Volta,Haemodialysis,,Yes - Free
H036,Dialysis Centre,Bolgatanga Regional Hospital Dialysis Unit,Bolgatanga,Upper East,Haemodialysis,,Yes - Free
H037,Dialysis Centre,Wa Regional Hospital Dialysis Unit,Wa,Upper West,Haemodialysis,,Yes - Free
H038,Dialysis Centre,Koforidua Regional Hospital Dialysis Unit,Koforidua,Eastern,Haemodialysis,,Yes - Free
H039,Dialysis Centre,Sunyani Regional Hospital Dialysis Unit,Sunyani,Bono,Haemodialysis,,Yes - Free
H040,Dialysis Centre,Sekondi Regional Hospital Dialysis Unit,Sekondi,Western,Haemodialysis,,Yes - Free
H041,Dialysis Centre,Techiman Regional Hospital Dialysis Unit,Techiman,Bono East,Haemodialysis,,Yes - Free
H042,Dialysis Centre,Tema General Hospital Dialysis Unit,Tema,Greater Accra,Haemodialysis,,Yes - Free
H043,Dialysis Centre,37 Military Hospital Dialysis Unit,Accra,Greater Accra,Haemodialysis,,Yes - Free
H044,Dialysis Centre,Effia-Nkwanta Dialysis Unit,Sekondi,Western,Haemodialysis,,Yes - Free
H045,Dialysis Centre,Agogo Presbyterian Hospital Dialysis Unit,Agogo,Ashanti,Haemodialysis,,Yes - Free
H046,Dialysis Centre,Tamale West Hospital Dialysis Unit,Tamale,Northern,Haemodialysis,,Yes - Free
H047,Dialysis Centre,Upper East Regional Dialysis Unit,Bolgatanga,Upper East,Haemodialysis,,Yes - Free
H048,Dialysis Centre,Ashanti Bekwai District Hospital Dialysis Unit,Bekwai,Ashanti,Haemodialysis,,Yes - Free
H049,Dialysis Centre,Dormaa Presbyterian Hospital Dialysis Unit,Dormaa Ahenkro,Bono,Haemodialysis,,Yes - Free
H050,Dialysis Centre,Nalerigu Baptist Medical Centre Dialysis Unit,Nalerigu,North East,Haemodialysis,,Yes - Free
H051,Mission/Faith-Based,Holy Family Hospital,Techiman,Bono East,General,,Yes
H052,Mission/Faith-Based,St. Joseph's Hospital,Koforidua,Eastern,General,,Yes
H053,Mission/Faith-Based,Battor Catholic Hospital,Battor,Volta,General,,Yes
H054,Mission/Faith-Based,Wenchi Methodist Hospital,Wenchi,Bono,General,,Yes
H055,Mission/Faith-Based,Dormaa Presbyterian Hospital,Dormaa Ahenkro,Bono,General,,Yes
H056,Mission/Faith-Based,Nkoranza Catholic Hospital,Nkoranza,Bono East,General,,Yes
H057,Mission/Faith-Based,Nalerigu Baptist Medical Centre,Nalerigu,North East,General & surgical,,Yes
H058,Mission/Faith-Based,St. Martin's Hospital,Agroyesum,Ashanti,General,,Yes
H059,Mission/Faith-Based,Dunkwa Government Hospital,Dunkwa-on-Offin,Central,General,,Yes
H060,Mission/Faith-Based,Margaret Marquart Catholic Hospital,Kpando,Volta,General,,Yes
