service_code,category,service_name,description,facility_requirement,notes
S043,Diagnostic,HbA1c,Glycated haemoglobin for diabetes monitoring,Accredited laboratories,
S044,Diagnostic,Liver Function Tests (LFTs),"ALT, AST, ALP, bilirubin panel",Accredited laboratories,
S045,Diagnostic,Renal Function Tests (RFTs),"Urea, creatinine, electrolytes",Accredited laboratories,
S046,Diagnostic,Lipid Profile,"Cholesterol, triglycerides, HDL, LDL",Accredited laboratories,
S047,Diagnostic,Thyroid Function Tests,"TSH, T3, T4",Accredited laboratories,
S048,Diagnostic,HIV Rapid Test,Rapid HIV antibody test,All accredited facilities,
S049,Diagnostic,CD4 Count,Lymphocyte subset count for HIV,Designated HIV centres,
S050,Diagnostic,Sputum AFB (Microscopy),TB acid-fast bacilli smear,Accredited laboratories,
S051,Diagnostic,Chest X-Ray,Plain chest radiograph,Facilities with X-ray,
S052,Diagnostic,Abdominal Ultrasound,Ultrasound of abdominal organs,Facilities with ultrasound,
S053,Diagnostic,Obstetric Ultrasound,Foetal and pelvic ultrasound,Facilities with ultrasound,
S054,Diagnostic,Electrocardiogram (ECG),Cardiac rhythm and function assessment,Hospitals with ECG,
S055,Diagnostic,CT Scan,Computed tomography imaging,Teaching/specialist hospitals,Referral required
S056,Diagnostic,MRI,Magnetic resonance imaging,Teaching/specialist hospitals,Referral required
S057,Emergency,Emergency Resuscitation,"CPR, airway management, stabilisation",All accredited facilities,
S058,Emergency,Emergency Surgery,Life-saving surgical intervention,Hospitals with surgical units,
S059,Emergency,Blood Transfusion,Whole blood or component transfusion,Hospitals with blood bank,
S060,Emergency,Haemodialysis,Renal replacement therapy for AKI/CKD,20 designated dialysis centres,Free at dialysis centres
S061,Emergency,Management of Burns,"Wound care, fluid resuscitation, skin grafting",Burns units / referral hospitals,
S062,Emergency,Snakebite Management,Antivenom and supportive care,All accredited facilities,
S063,Emergency,Acute Psychiatric Emergency,Stabilisation of acute mental health crisis,Accredited mental health units,
S064,Preventive,Health Education & Promotion,Individual and group health education,All accredited facilities,
S065,Preventive,Cervical Cancer Screening (VIA),Visual inspection with acetic acid,Selected accredited facilities,
