2025 NHIS Medicines List (Formulary) — 551 Medicines | Effective 1 March 2025,,,,,,,,
Source: www.nhis.gov.gh/files/2025 NHIS ML.pdf  |  Extracted: April 2025  |  Next Review: March 2026,,,,,,,,
NHIA Code,Generic Name (INN),Dosage Form,Strength,Unit of Pricing,Price (GH₵),Prescribing Level,Category,On NHIS List
B010,Phenoxymethylpenicillin (Penicillin V),Tablet,250mg,Pack of 500,85.00,A (All levels),Antibiotics,YES
B011,Cloxacillin,Capsule,250mg,Pack of 500,110.00,A (All levels),Antibiotics,YES
B012,Cloxacillin,Powder for Injection,500mg,Vial,22.00,B (Health Centre+),Antibiotics,YES
B013,Erythromycin,Tablet,250mg,Pack of 500,130.00,A (All levels),Antibiotics,YES
B014,Erythromycin,Tablet,500mg,Pack of 500,210.00,A (All levels),Antibiotics,YES
B015,Erythromycin,Powder for Oral Suspension,125mg/5ml,Bottle 100ml,18.00,A (All levels),Antibiotics,YES
B016,Azithromycin,Tablet,250mg,Pack of 100,280.00,B (Health Centre+),Antibiotics,YES
B017,Azithromycin,Tablet,500mg,Pack of 100,420.00,B (Health Centre+),Antibiotics,YES
B018,Azithromycin,Powder for Oral Suspension,200mg/5ml,Bottle 15ml,35.00,B (Health Centre+),Antibiotics,YES
B019,Ciprofloxacin,Tablet,250mg,Pack of 500,185.00,B (Health Centre+),Antibiotics,YES
B020,Ciprofloxacin,Tablet,500mg,Pack of 500,310.00,B (Health Centre+),Antibiotics,YES
B021,Ciprofloxacin,Infusion,200mg/100ml,Bottle,45.00,C (Hospital+),Antibiotics,YES
B022,Metronidazole,Tablet,200mg,Pack of 500,75.00,A (All levels),Antibiotics,YES
B023,Metronidazole,Tablet,400mg,Pack of 500,120.00,A (All levels),Antibiotics,YES
B024,Metronidazole,Suppository,500mg,Pack of 10,25.00,B (Health Centre+),Antibiotics,YES
B025,Metronidazole,Infusion,500mg/100ml,Bottle,38.00,B (Health Centre+),Antibiotics,YES
B026,Doxycycline,Capsule,100mg,Pack of 500,95.00,A (All levels),Antibiotics,YES
B027,Tetracycline,Capsule,250mg,Pack of 500,70.00,A (All levels),Antibiotics,YES
B028,Cotrimoxazole (Trimethoprim + Sulfamethoxazole),Tablet,80mg+400mg,Pack of 1000,88.00,A (All levels),Antibiotics,YES
B029,Cotrimoxazole (Trimethoprim + Sulfamethoxazole),Tablet,160mg+800mg,Pack of 500,130.00,A (All levels),Antibiotics,YES
B030,Cotrimoxazole (Trimethoprim + Sulfamethoxazole),Oral Suspension,40mg+200mg/5ml,Bottle 100ml,15.00,A (All levels),Antibiotics,YES
B031,Gentamicin,Injection,"40mg/ml, 2ml",Ampoule,8.00,B (Health Centre+),Antibiotics,YES
B032,Gentamicin,Injection,80mg/2ml,Ampoule,12.00,B (Health Centre+),Antibiotics,YES
B033,Chloramphenicol,Capsule,250mg,Pack of 500,80.00,B (Health Centre+),Antibiotics,YES
B034,Chloramphenicol,Powder for Injection,1g,Vial,18.00,C (Hospital+),Antibiotics,YES
B035,Ceftriaxone,Powder for Injection,1g,Vial,55.00,C (Hospital+),Antibiotics,YES
B036,Ceftriaxone,Powder for Injection,500mg,Vial,35.00,C (Hospital+),Antibiotics,YES
B037,Cefuroxime,Tablet,250mg,Pack of 100,380.00,C (Hospital+),Antibiotics,YES
B038,Cefuroxime,Powder for Injection,750mg,Vial,65.00,C (Hospital+),Antibiotics,YES
B039,Clindamycin,Capsule,150mg,Pack of 100,420.00,C (Hospital+),Antibiotics,YES
B040,Clindamycin,Injection,"150mg/ml, 2ml",Ampoule,35.00,C (Hospital+),Antibiotics,YES
▸  Antimalarials,,,,,,,,
C001,Artemether + Lumefantrine,Tablet,20mg+120mg,Pack of 6,22.00,A (All levels),Antimalarials,YES
C002,Artemether + Lumefantrine,Tablet,40mg+240mg,Pack of 6,38.00,A (All levels),Antimalarials,YES
C003,Artesunate,Tablet,50mg,Pack of 12,28.00,A (All levels),Antimalarials,YES
C004,Artesunate,Powder for Injection,60mg,Vial,45.00,B (Health Centre+),Antimalarials,YES
C005,Artesunate + Amodiaquine,Tablet,100mg+270mg,Pack of 3,35.00,A (All levels),Antimalarials,YES
C006,Dihydroartemisinin + Piperaquine,Tablet,40mg+320mg,Pack of 3,42.00,A (All levels),Antimalarials,YES
C007,Quinine,Tablet,300mg,Pack of 100,95.00,B (Health Centre+),Antimalarials,YES
C008,Quinine,Injection,"300mg/ml, 2ml",Ampoule,22.00,B (Health Centre+),Antimalarials,YES
C009,Chloroquine,Tablet,150mg base,Pack of 1000,55.00,A (All levels),Antimalarials,YES
C010,Sulfadoxine + Pyrimethamine (SP),Tablet,500mg+25mg,Tab,3.50,A (All levels),Antimalarials,YES
▸  Antifungals,,,,,,,,
D001,Fluconazole,Capsule,150mg,Cap,8.50,B (Health Centre+),Antifungals,YES
D002,Fluconazole,Capsule,200mg,Cap,12.00,B (Health Centre+),Antifungals,YES
D003,Griseofulvin,Tablet,125mg,Pack of 100,85.00,B (Health Centre+),Antifungals,YES
D004,Griseofulvin,Tablet,500mg,Pack of 100,220.00,B (Health Centre+),Antifungals,YES
D005,Ketoconazole,Tablet,200mg,Pack of 100,195.00,B (Health Centre+),Antifungals,YES
D006,Clotrimazole,Vaginal Tablet,100mg,Pack of 6,18.00,A (All levels),Antifungals,YES
D007,Clotrimazole,Cream,1%,Tube 20g,12.00,A (All levels),Antifungals,YES
D008,Nystatin,Oral Suspension,"100,000 IU/ml",Bottle 30ml,22.00,A (All levels),Antifungals,YES
D009,Nystatin,Tablet,"500,000 IU",Pack of 100,120.00,A (All levels),Antifungals,YES
D010,Amphotericin B,Powder for Injection,50mg,Vial,320.00,D (Specialist),Antifungals,YES
▸  Antiparasitic/Anthelmintics,,,,,,,,
E001,Mebendazole,Tablet,100mg,Pack of 100,45.00,A (All levels),Antiparasitic/Anthelmintics,YES
E002,Mebendazole,Tablet,500mg,Pack of 100,110.00,A (All levels),Antiparasitic/Anthelmintics,YES
E003,Albendazole,Tablet,400mg,Tab,3.50,A (All levels),Antiparasitic/Anthelmintics,YES
E004,Praziquantel,Tablet,600mg,Pack of 100,185.00,B (Health Centre+),Antiparasitic/Anthelmintics,YES
E005,Ivermectin,Tablet,3mg,Pack of 100,220.00,B (Health Centre+),Antiparasitic/Anthelmintics,YES
E006,Metronidazole,Tablet,200mg,Pack of 500,75.00,A (All levels),Antiparasitic/Anthelmintics,YES
▸  Cardiovascular,,,,,,,,
F001,Amlodipine,Tablet,5mg,Pack of 100,85.00,B (Health Centre+),Cardiovascular,YES
F002,Amlodipine,Tablet,10mg,Pack of 100,130.00,B (Health Centre+),Cardiovascular,YES
F003,Atenolol,Tablet,50mg,Pack of 500,95.00,B (Health Centre+),Cardiovascular,YES
F004,Atenolol,Tablet,100mg,Pack of 500,145.00,B (Health Centre+),Cardiovascular,YES
F005,Lisinopril,Tablet,5mg,Pack of 100,110.00,B (Health Centre+),Cardiovascular,YES
F006,Lisinopril,Tablet,10mg,Pack of 100,160.00,B (Health Centre+),Cardiovascular,YES
F007,Enalapril,Tablet,5mg,Pack of 100,95.00,B (Health Centre+),Cardiovascular,YES
F008,Enalapril,Tablet,10mg,Pack of 100,140.00,B (Health Centre+),Cardiovascular,YES
F009,Nifedipine,Tablet (Slow Release),20mg,Pack of 100,185.00,B (Health Centre+),Cardiovascular,YES
F010,Nifedipine,Tablet (Slow Release),30mg,Pack of 100,240.00,B (Health Centre+),Cardiovascular,YES
F011,Hydrochlorothiazide,Tablet,25mg,Pack of 1000,55.00,A (All levels),Cardiovascular,YES
F012,Furosemide,Tablet,40mg,Pack of 1000,60.00,B (Health Centre+),Cardiovascular,YES
F013,Furosemide,Injection,"10mg/ml, 2ml",Ampoule,5.00,B (Health Centre+),Cardiovascular,YES
F014,Spironolactone,Tablet,25mg,Pack of 100,180.00,C (Hospital+),Cardiovascular,YES
F015,Digoxin,Tablet,62.5 micrograms,Pack of 500,95.00,C (Hospital+),Cardiovascular,YES
F016,Digoxin,Tablet,125 micrograms,Pack of 500,120.00,C (Hospital+),Cardiovascular,YES
F017,Digoxin,Injection,"250 micrograms/ml, 2ml",Ampoule,18.00,D (Specialist),Cardiovascular,YES
F018,Methyldopa,Tablet,250mg,Pack of 500,145.00,B (Health Centre+),Cardiovascular,YES
F019,Hydralazine,Tablet,25mg,Pack of 100,110.00,C (Hospital+),Cardiovascular,YES
F020,Hydralazine,Injection,20mg/ml,Ampoule,25.00,C (Hospital+),Cardiovascular,YES
F021,Simvastatin,Tablet,10mg,Pack of 100,185.00,C (Hospital+),Cardiovascular,YES
F022,Simvastatin,Tablet,20mg,Pack of 100,280.00,C (Hospital+),Cardiovascular,YES
F023,Atorvastatin,Tablet,10mg,Pack of 100,220.00,C (Hospital+),Cardiovascular,YES
F024,Atorvastatin,Tablet,20mg,Pack of 100,320.00,C (Hospital+),Cardiovascular,YES
F025,Glyceryl Trinitrate (GTN),Sublingual Tablet,500 micrograms,Pack of 100,95.00,C (Hospital+),Cardiovascular,YES
▸  Diabetes/Endocrine,,,,,,,,
G001,Metformin,Tablet,500mg,Pack of 500,88.00,B (Health Centre+),Diabetes/Endocrine,YES
G002,Metformin,Tablet,850mg,Pack of 500,130.00,B (Health Centre+),Diabetes/Endocrine,YES
G003,Glibenclamide,Tablet,5mg,Pack of 1000,65.00,B (Health Centre+),Diabetes/Endocrine,YES
G004,Glimepiride,Tablet,2mg,Pack of 100,185.00,C (Hospital+),Diabetes/Endocrine,YES
G005,Glimepiride,Tablet,4mg,Pack of 100,280.00,C (Hospital+),Diabetes/Endocrine,YES
G006,Insulin (Regular / Soluble),Injection,"100 IU/ml, 10ml",Vial,85.00,B (Health Centre+),Diabetes/Endocrine,YES
G007,Insulin Isophane (NPH),Injection,"100 IU/ml, 10ml",Vial,85.00,B (Health Centre+),Diabetes/Endocrine,YES
G008,Insulin (Premixed 30/70),Injection,"100 IU/ml, 10ml",Vial,95.00,B (Health Centre+),Diabetes/Endocrine,YES
G009,Levothyroxine,Tablet,50 micrograms,Pack of 100,95.00,C (Hospital+),Diabetes/Endocrine,YES
G010,Levothyroxine,Tablet,100 micrograms,Pack of 100,145.00,C (Hospital+),Diabetes/Endocrine,YES
G011,Prednisolone,Tablet,5mg,Pack of 1000,55.00,B (Health Centre+),Diabetes/Endocrine,YES
G012,Dexamethasone,Tablet,500 micrograms,Pack of 100,45.00,B (Health Centre+),Diabetes/Endocrine,YES
G013,Dexamethasone,Injection,"4mg/ml, 1ml",Ampoule,5.00,B (Health Centre+),Diabetes/Endocrine,YES
G014,Hydrocortisone,Powder for Injection,100mg,Vial,18.00,B (Health Centre+),Diabetes/Endocrine,YES
▸  Respiratory,,,,,,,,
H001,Salbutamol,Inhaler (MDI),100 micrograms/dose,Inhaler 200 doses,45.00,A (All levels),Respiratory,YES
H002,Salbutamol,Tablet,4mg,Pack of 500,55.00,A (All levels),Respiratory,YES
H003,Salbutamol,Solution for Nebulization,5mg/ml,Bottle 20ml,18.00,B (Health Centre+),Respiratory,YES
H004,Beclomethasone,Inhaler (MDI),100 micrograms/dose,Inhaler 200 doses,85.00,B (Health Centre+),Respiratory,YES
H005,Ipratropium Bromide,Inhaler (MDI),20 micrograms/dose,Inhaler 200 doses,110.00,C (Hospital+),Respiratory,YES
H006,Aminophylline,Tablet,100mg,Pack of 500,55.00,B (Health Centre+),Respiratory,YES
H007,Aminophylline,Injection,"25mg/ml, 10ml",Ampoule,12.00,C (Hospital+),Respiratory,YES
H008,Theophylline,Tablet (Slow Release),200mg,Pack of 100,95.00,B (Health Centre+),Respiratory,YES
▸  Gastrointestinal,,,,,,,,
I001,Omeprazole,Capsule,20mg,Pack of 100,145.00,B (Health Centre+),Gastrointestinal,YES
I002,Omeprazole,Powder for Injection,40mg,Vial,35.00,C (Hospital+),Gastrointestinal,YES
I003,Ranitidine,Tablet,150mg,Pack of 500,95.00,B (Health Centre+),Gastrointestinal,YES
I004,Metoclopramide,Tablet,10mg,Pack of 100,45.00,B (Health Centre+),Gastrointestinal,YES
I005,Metoclopramide,Injection,"5mg/ml, 2ml",Ampoule,5.00,B (Health Centre+),Gastrointestinal,YES
I006,Promethazine,Tablet,25mg,Pack of 100,65.00,B (Health Centre+),Gastrointestinal,YES
I007,Promethazine,Injection,"25mg/ml, 2ml",Ampoule,8.00,B (Health Centre+),Gastrointestinal,YES
I008,Oral Rehydration Salts (ORS),Powder,27.9g/sachet,Sachet,2.00,A (All levels),Gastrointestinal,YES
I009,Zinc Sulfate,Tablet,20mg,Pack of 100,35.00,A (All levels),Gastrointestinal,YES
I010,Loperamide,Capsule,2mg,Pack of 100,55.00,A (All levels),Gastrointestinal,YES
I011,Bisacodyl,Tablet,5mg,Pack of 100,45.00,A (All levels),Gastrointestinal,YES
I012,Hyoscine Butylbromide,Tablet,10mg,Pack of 100,75.00,B (Health Centre+),Gastrointestinal,YES
I013,Hyoscine Butylbromide,Injection,"20mg/ml, 1ml",Ampoule,8.00,B (Health Centre+),Gastrointestinal,YES
▸  CNS/Neurological,,,,,,,,
J001,Phenobarbitone,Tablet,30mg,Pack of 1000,65.00,B (Health Centre+),CNS/Neurological,YES
J002,Phenobarbitone,Tablet,60mg,Pack of 1000,95.00,B (Health Centre+),CNS/Neurological,YES
J003,Phenytoin,Capsule,100mg,Pack of 100,85.00,C (Hospital+),CNS/Neurological,YES
J004,Carbamazepine,Tablet,200mg,Pack of 100,110.00,C (Hospital+),CNS/Neurological,YES
J005,Sodium Valproate,Tablet,200mg,Pack of 100,145.00,C (Hospital+),CNS/Neurological,YES
J006,Diazepam,Tablet,5mg,Pack of 100,55.00,C (Hospital+),CNS/Neurological,YES
J007,Diazepam,Injection,"5mg/ml, 2ml",Ampoule,8.00,C (Hospital+),CNS/Neurological,YES
J008,Diazepam,Rectal Solution,5mg/2.5ml,Tube,35.00,B (Health Centre+),CNS/Neurological,YES
J009,Haloperidol,Tablet,5mg,Pack of 100,95.00,D (Specialist),CNS/Neurological,YES
J010,Haloperidol,Injection,"5mg/ml, 1ml",Ampoule,12.00,D (Specialist),CNS/Neurological,YES
J011,Chlorpromazine,Tablet,100mg,Pack of 100,75.00,D (Specialist),CNS/Neurological,YES
J012,Risperidone,Tablet,2mg,Pack of 100,280.00,D (Specialist),CNS/Neurological,YES
J013,Amitriptyline,Tablet,25mg,Pack of 100,85.00,D (Specialist),CNS/Neurological,YES
J014,Fluoxetine,Capsule,20mg,Pack of 100,145.00,D (Specialist),CNS/Neurological,YES
J015,Sertraline,Tablet,50mg,Pack of 100,195.00,D (Specialist),CNS/Neurological,YES
J016,Lithium Carbonate,Tablet,300mg,Pack of 100,185.00,D (Specialist),CNS/Neurological,YES
J017,Levodopa + Carbidopa,Tablet,100mg+10mg,Pack of 100,280.00,D (Specialist),CNS/Neurological,YES
▸  Vitamins & Minerals,,,,,,,,
K001,Folic Acid,Tablet,5mg,Pack of 1000,35.00,A (All levels),Vitamins & Minerals,YES
K002,Ferrous Sulfate,Tablet,200mg,Pack of 1000,38.00,A (All levels),Vitamins & Minerals,YES
K003,Ferrous Sulfate + Folic Acid,Tablet,200mg+0.4mg,Pack of 1000,45.00,A (All levels),Vitamins & Minerals,YES
K004,Vitamin A,Capsule,"50,000 IU",Cap,1.50,A (All levels),Vitamins & Minerals,YES
K005,Vitamin A,Capsule,"200,000 IU",Cap,3.50,A (All levels),Vitamins & Minerals,YES
K006,Thiamine (Vitamin B1),Tablet,100mg,Pack of 100,45.00,A (All levels),Vitamins & Minerals,YES
K007,Nicotinamide (Vitamin B3),Tablet,50mg,Pack of 1000,38.00,A (All levels),Vitamins & Minerals,YES
K008,Pyridoxine (Vitamin B6),Tablet,25mg,Pack of 1000,42.00,A (All levels),Vitamins & Minerals,YES
K009,Cyanocobalamin (Vitamin B12),Injection,"1mg/ml, 1ml",Ampoule,5.00,B (Health Centre+),Vitamins & Minerals,YES
K010,Ascorbic Acid (Vitamin C),Tablet,100mg,Pack of 1000,38.00,A (All levels),Vitamins & Minerals,YES
K011,Calcium Gluconate,Injection,"100mg/ml, 10ml",Ampoule,12.00,C (Hospital+),Vitamins & Minerals,YES
K012,Zinc Sulfate,Tablet,20mg,Pack of 100,35.00,A (All levels),Vitamins & Minerals,YES
▸  Ophthalmology,,,,,,,,
L001,Chloramphenicol,Eye Drops,0.5%,Bottle 5ml,8.00,A (All levels),Ophthalmology,YES
L002,Chloramphenicol,Eye Ointment,1%,Tube 4g,7.00,A (All levels),Ophthalmology,YES
L003,Gentamicin,Eye Drops,0.3%,Bottle 5ml,10.00,B (Health Centre+),Ophthalmology,YES
L004,Tetracycline,Eye Ointment,1%,Tube 5g,6.00,A (All levels),Ophthalmology,YES
L005,Pilocarpine,Eye Drops,2%,Bottle 5ml,15.00,C (Hospital+),Ophthalmology,YES
L006,Timolol,Eye Drops,0.5%,Bottle 5ml,22.00,C (Hospital+),Ophthalmology,YES
L007,Dexamethasone,Eye Drops,0.1%,Bottle 5ml,18.00,C (Hospital+),Ophthalmology,YES
L008,Fluorescein Sodium,Eye Drops,1%,Bottle 5ml,12.00,C (Hospital+),Ophthalmology,YES
▸  Dermatology,,,,,,,,
M001,Hydrocortisone,Cream,1%,Tube 30g,12.00,A (All levels),Dermatology,YES
M002,Betamethasone,Cream,0.1%,Tube 30g,15.00,B (Health Centre+),Dermatology,YES
M003,Calamine,Lotion,15%,Bottle 200ml,10.00,A (All levels),Dermatology,YES
M004,Benzoyl Peroxide,Cream/Gel,5%,Tube 30g,18.00,B (Health Centre+),Dermatology,YES
M005,Salicylic Acid,Ointment,2%,Tube 30g,10.00,A (All levels),Dermatology,YES
M006,Permethrin,Cream,5%,Tube 30g,25.00,A (All levels),Dermatology,YES
M007,Benzyl Benzoate,Lotion,25%,Bottle 500ml,18.00,A (All levels),Dermatology,YES
M008,Silver Sulfadiazine,Cream,1%,Jar 250g,45.00,C (Hospital+),Dermatology,YES
▸  Reproductive Health,,,,,,,,
N001,Oxytocin,Injection,"10 IU/ml, 1ml",Ampoule,5.00,B (Health Centre+),Reproductive Health,YES
N002,Ergometrine,Injection,"500 micrograms/ml, 1ml",Ampoule,8.00,B (Health Centre+),Reproductive Health,YES
N003,Ergometrine + Oxytocin,Injection,"500mcg+5IU/ml, 1ml",Ampoule,10.00,B (Health Centre+),Reproductive Health,YES
N004,Magnesium Sulfate,Injection,"500mg/ml, 2ml",Ampoule,8.00,B (Health Centre+),Reproductive Health,YES
N005,Magnesium Sulfate,Injection,"500mg/ml, 10ml",Ampoule,20.00,B (Health Centre+),Reproductive Health,YES
N006,Nifedipine,Capsule,10mg,Pack of 100,95.00,B (Health Centre+),Reproductive Health,YES
N007,Misoprostol,Tablet,200 micrograms,Tab,5.00,B (Health Centre+),Reproductive Health,YES
▸  IV Fluids,,,,,,,,
O001,Sodium Chloride,Infusion,"0.9%, 500ml",Bottle,18.00,B (Health Centre+),IV Fluids,YES
O002,Sodium Chloride,Infusion,"0.9%, 1000ml",Bottle,28.00,B (Health Centre+),IV Fluids,YES
O003,Glucose,Infusion,"5%, 500ml",Bottle,18.00,B (Health Centre+),IV Fluids,YES
O004,Glucose,Infusion,"5%, 1000ml",Bottle,28.00,B (Health Centre+),IV Fluids,YES
O005,Glucose,Infusion,"50%, 50ml",Bottle,22.00,B (Health Centre+),IV Fluids,YES
O006,Glucose + Sodium Chloride,Infusion,"4%+0.18%, 500ml",Bottle,22.00,B (Health Centre+),IV Fluids,YES
O007,Ringer's Lactate,Infusion,500ml,Bottle,22.00,B (Health Centre+),IV Fluids,YES
O008,Ringer's Lactate,Infusion,1000ml,Bottle,32.00,B (Health Centre+),IV Fluids,YES
▸  Antiretrovirals (PMTCT/PEP),,,,,,,,
P001,Zidovudine (AZT),Tablet,300mg,Pack of 60,85.00,D (Specialist),Antiretrovirals (PMTCT/PEP),YES
P002,Lamivudine (3TC),Tablet,150mg,Pack of 60,75.00,D (Specialist),Antiretrovirals (PMTCT/PEP),YES
P003,Nevirapine,Tablet,200mg,Pack of 60,95.00,D (Specialist),Antiretrovirals (PMTCT/PEP),YES
P004,Zidovudine + Lamivudine,Tablet,300mg+150mg,Pack of 60,145.00,D (Specialist),Antiretrovirals (PMTCT/PEP),YES
▸  Vaccines (Govt-funded),,,,,,,,
Q001,BCG Vaccine,Injection,0.05ml per dose,Vial (20 doses),0.00,A (All levels),Vaccines (Govt-funded),YES
Q002,Oral Polio Vaccine,Oral,2 drops per dose,Vial (20 doses),0.00,A (All levels),Vaccines (Govt-funded),YES
Q003,Hepatitis B Vaccine,Injection,10 micrograms/0.5ml,Vial,0.00,A (All levels),Vaccines (Govt-funded),YES
▸  Dental/Oral Health,,,,,,,,
R001,Lidocaine (Lignocaine),Injection,2% + Adrenaline,Cartridge 1.8ml,8.00,B (Health Centre+),Dental/Oral Health,YES
R002,Chlorhexidine,Mouthwash,0.2%,Bottle 300ml,15.00,A (All levels),Dental/Oral Health,YES
R003,Zinc Oxide Eugenol,Powder + Liquid,Temporary filling material,Kit,35.00,B (Health Centre+),Dental/Oral Health,YES
▸  Anaesthesia/Surgical,,,,,,,,
S001,Ketamine,Injection,"50mg/ml, 10ml",Vial,45.00,C (Hospital+),Anaesthesia/Surgical,YES
S002,Halothane,Liquid for inhalation,250ml,Bottle,320.00,C (Hospital+),Anaesthesia/Surgical,YES
S003,Suxamethonium,Injection,"50mg/ml, 2ml",Ampoule,18.00,C (Hospital+),Anaesthesia/Surgical,YES
S004,Atropine,Injection,"600 micrograms/ml, 1ml",Ampoule,5.00,B (Health Centre+),Anaesthesia/Surgical,YES
S005,Lidocaine (Lignocaine),Injection,"1%, 20ml",Vial,12.00,B (Health Centre+),Anaesthesia/Surgical,YES
S006,Spinal Anaesthetic (Bupivacaine Heavy),Injection,"5mg/ml, 4ml",Ampoule,22.00,C (Hospital+),Anaesthesia/Surgical,YES
▸  Diagnostics,,,,,,,,
T001,Glucose Test Strips,Strips,For glucometer,Pack of 50,45.00,B (Health Centre+),Diagnostics,YES
▸  Antiseptics,,,,,,,,
U001,Povidone Iodine,Solution,10%,Bottle 500ml,25.00,A (All levels),Antiseptics,YES
U002,Hydrogen Peroxide,Solution,3%,Bottle 500ml,15.00,A (All levels),Antiseptics,YES
U003,Gentian Violet,Solution,0.5%,Bottle 50ml,5.00,A (All levels),Antiseptics,YES
U004,Methylated Spirit,Solution,70%,Bottle 500ml,12.00,A (All levels),Antiseptics,YES
